pid;best;worst;avg;makespan
1;83.0;103.0;92.73;0.75
2;83.0;92.0;85.83;0.75
3;83.0;86.0;83.13;0.75
4;83.0;83.0;83.0;0.75
5;83.0;83.0;83.0;0.75
6;83.0;83.0;83.0;0.75
7;83.0;83.0;83.0;0.75
8;83.0;83.0;83.0;0.75
9;83.0;83.0;83.0;0.75
10;83.0;83.0;83.0;0.75
11;83.0;83.0;83.0;0.75
12;83.0;83.0;83.0;0.75
13;83.0;83.0;83.0;0.75
14;83.0;83.0;83.0;0.75
15;83.0;83.0;83.0;0.75
16;83.0;83.0;83.0;0.75
17;83.0;83.0;83.0;0.75
18;83.0;83.0;83.0;0.75
19;83.0;83.0;83.0;0.75
20;83.0;83.0;83.0;0.75
21;83.0;83.0;83.0;0.75
22;83.0;83.0;83.0;0.75
23;83.0;83.0;83.0;0.75
24;83.0;83.0;83.0;0.75
25;83.0;83.0;83.0;0.75
26;83.0;83.0;83.0;0.75
27;83.0;83.0;83.0;0.75
28;83.0;83.0;83.0;0.75
29;83.0;83.0;83.0;0.75
30;83.0;83.0;83.0;0.75
31;83.0;83.0;83.0;0.75
32;83.0;83.0;83.0;0.75
33;83.0;83.0;83.0;0.75
34;83.0;83.0;83.0;0.75
35;83.0;83.0;83.0;0.75
36;83.0;83.0;83.0;0.75
37;83.0;83.0;83.0;0.75
38;83.0;83.0;83.0;0.75
39;83.0;83.0;83.0;0.75
40;83.0;83.0;83.0;0.75
41;83.0;83.0;83.0;0.75
42;83.0;83.0;83.0;0.75
43;83.0;83.0;83.0;0.75
44;83.0;83.0;83.0;0.75
45;83.0;83.0;83.0;0.75
46;83.0;83.0;83.0;0.75
47;83.0;83.0;83.0;0.75
48;83.0;83.0;83.0;0.75
49;83.0;83.0;83.0;0.75
50;83.0;83.0;83.0;0.75
51;83.0;83.0;83.0;0.75
52;83.0;83.0;83.0;0.75
53;83.0;83.0;83.0;0.75
54;83.0;83.0;83.0;0.75
55;83.0;83.0;83.0;0.75
56;83.0;83.0;83.0;0.75
57;83.0;83.0;83.0;0.75
58;83.0;83.0;83.0;0.75
59;83.0;83.0;83.0;0.75
60;83.0;83.0;83.0;0.75
61;83.0;83.0;83.0;0.75
62;83.0;83.0;83.0;0.75
63;83.0;83.0;83.0;0.75
64;83.0;83.0;83.0;0.75
65;83.0;83.0;83.0;0.75
66;83.0;83.0;83.0;0.75
67;83.0;83.0;83.0;0.75
68;83.0;83.0;83.0;0.75
69;83.0;83.0;83.0;0.75
70;83.0;83.0;83.0;0.75
71;83.0;83.0;83.0;0.75
72;83.0;83.0;83.0;0.75
73;83.0;83.0;83.0;0.75
74;83.0;83.0;83.0;0.75
75;83.0;83.0;83.0;0.75
76;83.0;83.0;83.0;0.75
77;83.0;83.0;83.0;0.75
78;83.0;83.0;83.0;0.75
79;83.0;83.0;83.0;0.75
80;83.0;83.0;83.0;0.75
81;83.0;83.0;83.0;0.75
82;83.0;83.0;83.0;0.75
83;83.0;83.0;83.0;0.75
84;83.0;83.0;83.0;0.75
85;83.0;83.0;83.0;0.75
86;83.0;83.0;83.0;0.75
87;83.0;83.0;83.0;0.75
88;83.0;83.0;83.0;0.75
89;83.0;83.0;83.0;0.75
90;83.0;83.0;83.0;0.75
91;83.0;83.0;83.0;0.75
92;83.0;83.0;83.0;0.75
93;83.0;83.0;83.0;0.75
94;83.0;83.0;83.0;0.75
95;83.0;83.0;83.0;0.75
96;83.0;83.0;83.0;0.75
97;83.0;83.0;83.0;0.75
98;83.0;83.0;83.0;0.75
99;83.0;83.0;83.0;0.75
100;83.0;83.0;83.0;0.75
