pid;best;worst;avg;avgConflicts
0;67.0;103.0;82.01;0
1;67.0;86.0;74.86;1
2;67.0;75.0;71.14;2
3;67.0;72.0;67.87;2
4;67.0;67.0;67.0;0
5;67.0;67.0;67.0;0
6;67.0;67.0;67.0;0
7;67.0;67.0;67.0;0
8;67.0;67.0;67.0;0
9;67.0;67.0;67.0;0
10;67.0;67.0;67.0;0
11;67.0;67.0;67.0;0
12;67.0;67.0;67.0;0
13;67.0;67.0;67.0;1
14;67.0;67.0;67.0;0
15;67.0;67.0;67.0;0
16;67.0;67.0;67.0;0
17;67.0;67.0;67.0;2
18;67.0;67.0;67.0;2
19;67.0;67.0;67.0;2
20;67.0;67.0;67.0;2
21;67.0;67.0;67.0;2
22;67.0;67.0;67.0;2
23;67.0;67.0;67.0;2
24;67.0;67.0;67.0;2
25;67.0;67.0;67.0;2
26;67.0;67.0;67.0;2
27;67.0;67.0;67.0;2
28;67.0;67.0;67.0;2
29;67.0;67.0;67.0;2
30;67.0;67.0;67.0;2
31;67.0;67.0;67.0;2
32;67.0;67.0;67.0;2
33;67.0;67.0;67.0;2
34;67.0;67.0;67.0;2
35;67.0;67.0;67.0;2
36;67.0;67.0;67.0;2
37;67.0;67.0;67.0;2
38;67.0;67.0;67.0;2
39;67.0;67.0;67.0;2
40;67.0;67.0;67.0;2
41;67.0;67.0;67.0;2
42;67.0;67.0;67.0;2
43;67.0;67.0;67.0;2
44;67.0;67.0;67.0;2
45;67.0;67.0;67.0;2
46;67.0;67.0;67.0;2
47;67.0;67.0;67.0;2
48;67.0;67.0;67.0;2
49;67.0;67.0;67.0;2
50;67.0;67.0;67.0;2
51;67.0;67.0;67.0;2
52;67.0;67.0;67.0;2
53;67.0;67.0;67.0;3
54;67.0;67.0;67.0;3
55;67.0;67.0;67.0;3
56;67.0;67.0;67.0;3
57;67.0;67.0;67.0;3
58;67.0;67.0;67.0;3
59;67.0;67.0;67.0;3
60;67.0;67.0;67.0;3
61;67.0;67.0;67.0;3
62;67.0;67.0;67.0;3
63;67.0;67.0;67.0;3
64;67.0;67.0;67.0;3
65;67.0;67.0;67.0;3
66;67.0;67.0;67.0;3
67;67.0;67.0;67.0;3
68;67.0;67.0;67.0;3
69;67.0;67.0;67.0;3
70;67.0;67.0;67.0;3
71;67.0;67.0;67.0;3
72;67.0;67.0;67.0;3
73;67.0;67.0;67.0;3
74;67.0;67.0;67.0;3
75;67.0;67.0;67.0;3
76;67.0;67.0;67.0;3
77;67.0;67.0;67.0;3
78;67.0;67.0;67.0;3
79;67.0;67.0;67.0;3
80;67.0;67.0;67.0;3
81;67.0;67.0;67.0;3
82;67.0;67.0;67.0;3
83;67.0;67.0;67.0;3
84;67.0;67.0;67.0;3
85;67.0;67.0;67.0;3
86;67.0;67.0;67.0;3
87;67.0;67.0;67.0;3
88;67.0;67.0;67.0;3
89;67.0;67.0;67.0;3
90;67.0;67.0;67.0;3
91;67.0;67.0;67.0;3
92;67.0;67.0;67.0;3
93;67.0;67.0;67.0;3
94;67.0;67.0;67.0;3
95;67.0;67.0;67.0;3
96;67.0;67.0;67.0;3
97;67.0;67.0;67.0;3
98;67.0;67.0;67.0;3
99;67.0;67.0;67.0;3
100;67.0;67.0;67.0;3
