pid;best;worst;avg;makespan
1;109.0;121.0;113.89;0.83
2;98.0;127.0;106.96;0.74
3;98.0;111.0;101.36;0.74
4;107.0;111.0;107.15;0.81
5;107.0;140.0;128.67;0.81
6;127.0;140.0;131.86;0.96
7;115.0;143.0;124.88;0.87
8;133.0;133.0;133.0;1.0
9;133.0;144.0;137.77;1.0
10;132.0;141.0;133.62;1.0
11;121.0;132.0;128.63;0.92
12;121.0;130.0;125.8;0.92
13;130.0;134.0;130.13;0.98
14;114.0;134.0;133.33;0.86
15;114.0;120.0;117.62;0.86
16;114.0;114.0;114.0;0.86
17;114.0;120.0;117.16;0.86
18;93.0;120.0;101.64;0.7
19;83.0;93.0;88.12;0.63
20;83.0;109.0;99.07;0.63
21;107.0;130.0;115.51;0.81
22;108.0;122.0;116.07;0.82
23;122.0;129.0;128.95;0.92
24;107.0;129.0;122.66;0.81
25;114.0;114.0;114.0;0.86
26;99.0;114.0;110.04;0.75
27;99.0;119.0;113.86;0.75
28;119.0;119.0;119.0;0.9
29;108.0;119.0;111.52;0.82
30;103.0;120.0;110.14;0.78
31;106.0;106.0;106.0;0.8
32;104.0;106.0;104.47;0.79
33;113.0;115.0;113.17;0.86
34;113.0;120.0;118.99;0.86
35;120.0;120.0;120.0;0.91
36;105.0;132.0;109.45;0.8
37;110.0;125.0;116.2;0.83
38;102.0;115.0;105.02;0.77
39;102.0;102.0;102.0;0.77
40;98.0;102.0;100.2;0.74
41;89.0;105.0;95.93;0.67
42;89.0;90.0;89.56;0.67
43;82.0;103.0;90.27;0.62
44;100.0;106.0;101.26;0.76
45;95.0;100.0;99.27;0.72
46;95.0;115.0;104.3;0.72
47;115.0;122.0;119.35;0.87
48;105.0;122.0;117.0;0.8
49;119.0;119.0;119.0;0.9
50;114.0;124.0;120.2;0.86
51;110.0;134.0;123.45;0.83
52;110.0;110.0;110.0;0.83
53;110.0;115.0;114.82;0.83
54;111.0;115.0;113.62;0.84
55;91.0;111.0;94.71;0.69
56;92.0;92.0;92.0;0.7
57;92.0;110.0;101.06;0.7
58;97.0;97.0;97.0;0.73
59;97.0;97.0;97.0;0.73
60;94.0;107.0;102.91;0.71
61;94.0;106.0;98.44;0.71
62;92.0;111.0;101.92;0.7
63;104.0;111.0;108.15;0.79
64;104.0;116.0;113.25;0.79
65;114.0;139.0;130.67;0.86
66;137.0;139.0;138.91;1.0
67;112.0;137.0;122.0;0.85
68;112.0;128.0;120.08;0.85
69;128.0;128.0;128.0;0.97
70;128.0;130.0;128.38;0.97
71;130.0;152.0;143.13;0.98
72;126.0;152.0;146.95;0.95
73;117.0;126.0;121.51;0.89
74;117.0;117.0;117.0;0.89
75;104.0;117.0;108.11;0.79
76;104.0;104.0;104.0;0.79
77;92.0;112.0;105.12;0.7
78;98.0;112.0;100.62;0.74
79;101.0;114.0;105.64;0.77
80;114.0;117.0;116.54;0.86
81;107.0;128.0;113.01;0.81
82;128.0;163.0;151.52;0.97
83;154.0;163.0;157.21;1.0
84;154.0;154.0;154.0;1.0
85;116.0;154.0;130.83;0.88
86;116.0;120.0;119.0;0.88
87;120.0;137.0;133.65;0.91
88;130.0;137.0;135.53;0.98
89;114.0;130.0;120.4;0.86
90;109.0;127.0;117.93;0.83
91;103.0;116.0;113.58;0.78
92;103.0;119.0;104.44;0.78
93;119.0;119.0;119.0;0.9
94;109.0;119.0;113.6;0.83
95;109.0;110.0;109.65;0.83
96;93.0;113.0;104.2;0.7
97;92.0;123.0;110.26;0.7
98;107.0;123.0;122.79;0.81
99;104.0;124.0;105.27;0.79
100;114.0;124.0;117.07;0.86
