pid;best;worst;avg;avgConflicts
0;109.0;131.0;117.6;0
1;109.0;117.0;112.8;0
2;109.0;112.0;110.33;1
3;109.0;111.0;109.2;0
4;109.0;109.0;109.0;0
5;109.0;109.0;109.0;0
6;109.0;109.0;109.0;0
7;109.0;109.0;109.0;0
8;109.0;109.0;109.0;0
9;109.0;109.0;109.0;0
10;109.0;109.0;109.0;0
11;109.0;109.0;109.0;0
12;109.0;109.0;109.0;0
13;109.0;109.0;109.0;0
14;109.0;109.0;109.0;0
15;109.0;109.0;109.0;0
16;109.0;109.0;109.0;0
17;109.0;109.0;109.0;0
18;109.0;109.0;109.0;0
19;109.0;109.0;109.0;0
20;109.0;109.0;109.0;0
21;109.0;109.0;109.0;0
22;109.0;109.0;109.0;0
23;109.0;109.0;109.0;0
24;109.0;109.0;109.0;0
25;109.0;109.0;109.0;0
26;109.0;109.0;109.0;0
27;109.0;109.0;109.0;0
28;109.0;109.0;109.0;0
29;109.0;109.0;109.0;0
30;109.0;109.0;109.0;0
31;109.0;109.0;109.0;0
32;109.0;109.0;109.0;0
33;109.0;109.0;109.0;0
34;109.0;109.0;109.0;0
35;109.0;109.0;109.0;0
36;109.0;109.0;109.0;0
37;109.0;109.0;109.0;1
38;109.0;109.0;109.0;1
39;109.0;109.0;109.0;1
40;109.0;109.0;109.0;1
41;109.0;109.0;109.0;1
42;109.0;109.0;109.0;1
43;109.0;109.0;109.0;1
44;109.0;109.0;109.0;1
45;109.0;109.0;109.0;1
46;109.0;109.0;109.0;1
47;109.0;109.0;109.0;1
48;109.0;109.0;109.0;1
49;109.0;109.0;109.0;1
50;109.0;109.0;109.0;1
51;109.0;109.0;109.0;1
52;109.0;109.0;109.0;1
53;109.0;109.0;109.0;1
54;109.0;109.0;109.0;1
55;109.0;109.0;109.0;1
56;109.0;109.0;109.0;0
57;109.0;109.0;109.0;0
58;109.0;109.0;109.0;0
59;109.0;109.0;109.0;1
60;109.0;109.0;109.0;1
61;109.0;109.0;109.0;1
62;109.0;109.0;109.0;1
63;109.0;109.0;109.0;1
64;109.0;109.0;109.0;1
65;109.0;109.0;109.0;1
66;109.0;109.0;109.0;5
67;109.0;109.0;109.0;5
68;109.0;109.0;109.0;5
69;109.0;109.0;109.0;2
70;109.0;109.0;109.0;2
71;109.0;109.0;109.0;2
72;109.0;109.0;109.0;1
73;109.0;109.0;109.0;1
74;109.0;109.0;109.0;1
75;109.0;109.0;109.0;1
76;109.0;109.0;109.0;1
77;109.0;109.0;109.0;3
78;109.0;109.0;109.0;3
79;109.0;109.0;109.0;3
80;109.0;109.0;109.0;3
81;109.0;109.0;109.0;3
82;109.0;109.0;109.0;3
83;109.0;109.0;109.0;2
84;109.0;109.0;109.0;2
85;109.0;109.0;109.0;2
86;109.0;109.0;109.0;2
87;109.0;109.0;109.0;2
88;109.0;109.0;109.0;2
89;109.0;109.0;109.0;2
90;109.0;109.0;109.0;2
91;109.0;109.0;109.0;2
92;109.0;109.0;109.0;2
93;109.0;109.0;109.0;2
94;109.0;109.0;109.0;2
95;109.0;109.0;109.0;2
96;109.0;109.0;109.0;2
97;109.0;109.0;109.0;2
98;109.0;109.0;109.0;2
99;109.0;109.0;109.0;2
100;109.0;109.0;109.0;2
