pid;best;worst;avg;makespan
1;79.0;96.0;87.2;0.83
2;79.0;87.0;81.87;0.83
3;79.0;85.0;79.4;0.83
4;79.0;79.0;79.0;0.83
5;79.0;79.0;79.0;0.83
6;79.0;79.0;79.0;0.83
7;79.0;79.0;79.0;0.83
8;79.0;79.0;79.0;0.83
9;79.0;79.0;79.0;0.83
10;79.0;79.0;79.0;0.83
11;79.0;79.0;79.0;0.83
12;79.0;79.0;79.0;0.83
13;79.0;79.0;79.0;0.83
14;79.0;79.0;79.0;0.83
15;79.0;79.0;79.0;0.83
16;79.0;79.0;79.0;0.83
17;79.0;79.0;79.0;0.83
18;79.0;79.0;79.0;0.83
19;79.0;79.0;79.0;0.83
20;79.0;79.0;79.0;0.83
21;79.0;79.0;79.0;0.83
22;79.0;79.0;79.0;0.83
23;79.0;79.0;79.0;0.83
24;79.0;79.0;79.0;0.83
25;79.0;79.0;79.0;0.83
26;79.0;79.0;79.0;0.83
27;79.0;79.0;79.0;0.83
28;79.0;79.0;79.0;0.83
29;79.0;79.0;79.0;0.83
30;79.0;79.0;79.0;0.83
31;79.0;79.0;79.0;0.83
32;79.0;79.0;79.0;0.83
33;79.0;79.0;79.0;0.83
34;79.0;79.0;79.0;0.83
35;79.0;79.0;79.0;0.83
36;79.0;79.0;79.0;0.83
37;79.0;79.0;79.0;0.83
38;79.0;79.0;79.0;0.83
39;79.0;79.0;79.0;0.83
40;79.0;79.0;79.0;0.83
41;79.0;79.0;79.0;0.83
42;79.0;79.0;79.0;0.83
43;79.0;79.0;79.0;0.83
44;79.0;79.0;79.0;0.83
45;79.0;79.0;79.0;0.83
46;79.0;79.0;79.0;0.83
47;79.0;79.0;79.0;0.83
48;79.0;79.0;79.0;0.83
49;79.0;79.0;79.0;0.83
50;79.0;79.0;79.0;0.83
51;79.0;79.0;79.0;0.83
52;79.0;79.0;79.0;0.83
53;79.0;79.0;79.0;0.83
54;79.0;79.0;79.0;0.83
55;79.0;79.0;79.0;0.83
56;79.0;79.0;79.0;0.83
57;79.0;79.0;79.0;0.83
58;79.0;79.0;79.0;0.83
59;79.0;79.0;79.0;0.83
60;79.0;79.0;79.0;0.83
61;79.0;79.0;79.0;0.83
62;79.0;79.0;79.0;0.83
63;79.0;79.0;79.0;0.83
64;79.0;79.0;79.0;0.83
65;79.0;79.0;79.0;0.83
66;79.0;79.0;79.0;0.83
67;79.0;79.0;79.0;0.83
68;79.0;79.0;79.0;0.83
69;79.0;79.0;79.0;0.83
70;79.0;79.0;79.0;0.83
71;79.0;79.0;79.0;0.83
72;79.0;79.0;79.0;0.83
73;79.0;79.0;79.0;0.83
74;79.0;79.0;79.0;0.83
75;79.0;79.0;79.0;0.83
76;79.0;79.0;79.0;0.83
77;79.0;79.0;79.0;0.83
78;79.0;79.0;79.0;0.83
79;79.0;79.0;79.0;0.83
80;79.0;79.0;79.0;0.83
81;79.0;79.0;79.0;0.83
82;79.0;79.0;79.0;0.83
83;79.0;79.0;79.0;0.83
84;79.0;79.0;79.0;0.83
85;79.0;79.0;79.0;0.83
86;79.0;79.0;79.0;0.83
87;79.0;79.0;79.0;0.83
88;79.0;79.0;79.0;0.83
89;79.0;79.0;79.0;0.83
90;79.0;79.0;79.0;0.83
91;79.0;79.0;79.0;0.83
92;79.0;79.0;79.0;0.83
93;79.0;79.0;79.0;0.83
94;79.0;79.0;79.0;0.83
95;79.0;79.0;79.0;0.83
96;79.0;79.0;79.0;0.83
97;79.0;79.0;79.0;0.83
98;79.0;79.0;79.0;0.83
99;79.0;79.0;79.0;0.83
100;79.0;79.0;79.0;0.83
