pid;best;worst;avg;makespan
1;54.0;76.0;63.74;0.56
2;54.0;66.0;58.46;0.56
3;54.0;60.0;54.98;0.56
4;54.0;55.0;54.04;0.56
5;54.0;54.0;54.0;0.56
6;54.0;54.0;54.0;0.56
7;54.0;54.0;54.0;0.56
8;54.0;54.0;54.0;0.56
9;54.0;54.0;54.0;0.56
10;54.0;54.0;54.0;0.56
11;54.0;54.0;54.0;0.56
12;54.0;54.0;54.0;0.56
13;54.0;54.0;54.0;0.56
14;54.0;54.0;54.0;0.56
15;54.0;54.0;54.0;0.56
16;54.0;54.0;54.0;0.56
17;54.0;54.0;54.0;0.56
18;54.0;54.0;54.0;0.56
19;54.0;54.0;54.0;0.56
20;54.0;54.0;54.0;0.56
21;54.0;54.0;54.0;0.56
22;54.0;54.0;54.0;0.56
23;54.0;54.0;54.0;0.56
24;54.0;54.0;54.0;0.56
25;54.0;54.0;54.0;0.56
26;54.0;54.0;54.0;0.56
27;54.0;54.0;54.0;0.56
28;54.0;54.0;54.0;0.56
29;54.0;54.0;54.0;0.56
30;54.0;54.0;54.0;0.56
31;54.0;54.0;54.0;0.56
32;54.0;54.0;54.0;0.56
33;54.0;54.0;54.0;0.56
34;54.0;54.0;54.0;0.56
35;54.0;54.0;54.0;0.56
36;54.0;54.0;54.0;0.56
37;54.0;54.0;54.0;0.56
38;54.0;54.0;54.0;0.56
39;54.0;54.0;54.0;0.56
40;54.0;54.0;54.0;0.56
41;54.0;54.0;54.0;0.56
42;54.0;54.0;54.0;0.56
43;54.0;54.0;54.0;0.56
44;54.0;54.0;54.0;0.56
45;54.0;54.0;54.0;0.56
46;54.0;54.0;54.0;0.56
47;54.0;54.0;54.0;0.56
48;54.0;54.0;54.0;0.56
49;54.0;54.0;54.0;0.56
50;54.0;54.0;54.0;0.56
51;54.0;54.0;54.0;0.56
52;54.0;54.0;54.0;0.56
53;54.0;54.0;54.0;0.56
54;54.0;54.0;54.0;0.56
55;54.0;54.0;54.0;0.56
56;54.0;54.0;54.0;0.56
57;54.0;54.0;54.0;0.56
58;54.0;54.0;54.0;0.56
59;54.0;54.0;54.0;0.56
60;54.0;54.0;54.0;0.56
61;54.0;54.0;54.0;0.56
62;54.0;54.0;54.0;0.56
63;54.0;54.0;54.0;0.56
64;54.0;54.0;54.0;0.56
65;54.0;54.0;54.0;0.56
66;54.0;54.0;54.0;0.56
67;54.0;54.0;54.0;0.56
68;54.0;54.0;54.0;0.56
69;54.0;54.0;54.0;0.56
70;54.0;54.0;54.0;0.56
71;54.0;54.0;54.0;0.56
72;54.0;54.0;54.0;0.56
73;54.0;54.0;54.0;0.56
74;54.0;54.0;54.0;0.56
75;54.0;54.0;54.0;0.56
76;54.0;54.0;54.0;0.56
77;54.0;54.0;54.0;0.56
78;54.0;54.0;54.0;0.56
79;54.0;54.0;54.0;0.56
80;54.0;54.0;54.0;0.56
81;54.0;54.0;54.0;0.56
82;54.0;54.0;54.0;0.56
83;54.0;54.0;54.0;0.56
84;54.0;54.0;54.0;0.56
85;54.0;54.0;54.0;0.56
86;54.0;54.0;54.0;0.56
87;54.0;54.0;54.0;0.56
88;54.0;54.0;54.0;0.56
89;54.0;54.0;54.0;0.56
90;54.0;54.0;54.0;0.56
91;54.0;54.0;54.0;0.56
92;54.0;54.0;54.0;0.56
93;54.0;54.0;54.0;0.56
94;54.0;54.0;54.0;0.56
95;54.0;54.0;54.0;0.56
96;54.0;54.0;54.0;0.56
97;54.0;54.0;54.0;0.56
98;54.0;54.0;54.0;0.56
99;54.0;54.0;54.0;0.56
100;54.0;54.0;54.0;0.56
