pid;best;worst;avg;avgConflicts
0;67.0;101.0;79.7;0
1;67.0;86.0;73.1;0
2;67.0;75.0;68.91;1
3;67.0;69.0;67.89;1
4;67.0;68.0;67.57;2
5;67.0;68.0;67.04;3
6;67.0;67.0;67.0;6
7;67.0;67.0;67.0;5
8;67.0;67.0;67.0;5
9;67.0;67.0;67.0;5
10;67.0;67.0;67.0;4
11;67.0;67.0;67.0;6
12;67.0;67.0;67.0;6
13;67.0;67.0;67.0;5
14;67.0;67.0;67.0;6
15;67.0;67.0;67.0;5
16;67.0;67.0;67.0;6
17;67.0;67.0;67.0;4
18;67.0;67.0;67.0;3
19;67.0;67.0;67.0;2
20;67.0;67.0;67.0;3
21;67.0;67.0;67.0;3
22;67.0;67.0;67.0;3
23;67.0;67.0;67.0;3
24;67.0;67.0;67.0;3
25;67.0;67.0;67.0;3
26;67.0;67.0;67.0;3
27;67.0;67.0;67.0;3
28;67.0;67.0;67.0;3
29;67.0;67.0;67.0;3
30;67.0;67.0;67.0;4
31;67.0;67.0;67.0;4
32;67.0;67.0;67.0;4
33;67.0;67.0;67.0;4
34;67.0;67.0;67.0;4
35;67.0;67.0;67.0;4
36;67.0;67.0;67.0;4
37;67.0;67.0;67.0;4
38;67.0;67.0;67.0;4
39;67.0;67.0;67.0;5
40;67.0;67.0;67.0;5
41;67.0;67.0;67.0;4
42;67.0;67.0;67.0;4
43;67.0;67.0;67.0;4
44;67.0;67.0;67.0;4
45;67.0;67.0;67.0;6
46;67.0;67.0;67.0;6
47;67.0;67.0;67.0;5
48;67.0;67.0;67.0;6
49;67.0;67.0;67.0;6
50;67.0;67.0;67.0;5
51;67.0;67.0;67.0;6
52;67.0;67.0;67.0;5
53;67.0;67.0;67.0;5
54;67.0;67.0;67.0;5
55;67.0;67.0;67.0;4
56;67.0;67.0;67.0;4
57;67.0;67.0;67.0;4
58;67.0;67.0;67.0;4
59;67.0;67.0;67.0;4
60;67.0;67.0;67.0;3
61;67.0;67.0;67.0;3
62;67.0;67.0;67.0;3
63;67.0;67.0;67.0;3
64;67.0;67.0;67.0;4
65;67.0;67.0;67.0;6
66;67.0;67.0;67.0;6
67;67.0;67.0;67.0;6
68;67.0;67.0;67.0;4
69;67.0;67.0;67.0;5
70;67.0;67.0;67.0;6
71;67.0;67.0;67.0;6
72;67.0;67.0;67.0;7
73;67.0;67.0;67.0;6
74;67.0;67.0;67.0;6
75;67.0;67.0;67.0;6
76;67.0;67.0;67.0;6
77;67.0;67.0;67.0;7
78;67.0;67.0;67.0;7
79;67.0;67.0;67.0;7
80;67.0;67.0;67.0;6
81;67.0;67.0;67.0;7
82;67.0;67.0;67.0;6
83;67.0;67.0;67.0;8
84;67.0;67.0;67.0;7
85;67.0;67.0;67.0;7
86;67.0;67.0;67.0;9
87;67.0;67.0;67.0;8
88;67.0;67.0;67.0;8
89;67.0;67.0;67.0;9
90;67.0;67.0;67.0;9
91;67.0;67.0;67.0;10
92;67.0;67.0;67.0;9
93;67.0;67.0;67.0;9
94;67.0;67.0;67.0;9
95;67.0;67.0;67.0;9
96;67.0;67.0;67.0;9
97;67.0;67.0;67.0;10
98;67.0;67.0;67.0;9
99;67.0;67.0;67.0;8
100;67.0;67.0;67.0;9
